Peptide,A19_17_PR3 active,A19_18_PR3 active,A19_19_PR3 active,1828_PR3 active,A19_22_PR3 active,A19_26_PR3 active,A20_1_PR3 active,A20_3_PR3 active,A20_21_PR3 active,A20_22_PR3 active,A20_25_PR3 active,A20_26_PR3 active,A20_33_PR3 active,A20_45_PR3 active,A20_52_PR3 active,A20_21_PR3 active,141_PR3 active,A21_3_PR3 active,A21_10_PR3 active,96_PR3 active,3_PR3 active,A21_1_PR3 active,A21_4_PR3 active,A21_12_PR3 active,A21_13_PR3 active,A21_6_PR3 active,A21_14_PR3 active,A20_40_PR3 active,A18_13_PR3 active,A21_16_PR3 active,A21_17_PR3 active,A21_18_PR3 active,A20_59_PR3 active,A20_60_PR3 active,A20_61_PR3 active,A20_62_PR3 active,A20_64_PR3 active,1318_PR3 active,A20_65_PR3 active,1758_PR3 active,A21_7_MPA active,A21_9_MPA active,A21_15_MPA active,A20_56_MPA active,A21_2_MPA active,A21_5_MPA active,A20_66_MPA active,1808_MPA active,A19_21_MPA active,A19_24_MPA active,A20_19_MPA active,A20_18_MPA active,A20_24_MPA active,A20_32_MPA active,A20_38_MPA active,A20_39_MPA active,A20_44_MPA active,A20_49_MPA active,A20_34_MPA active,A18_21_PR3 remission,1763_PR3 remission,A20_30_PR3 remission,A20_57_PR3 remission,A20_55_PR3 remission,A20_60_PR3 remission,A20_63_PR3 remission,A20_28_PR3 remission,1286_PR3 remission,A20_67_PR3 remission,A20_68_PR3 remission,A20_69_PR3 remission,3_PR3 remission,A19_20_PR3 remission,1826_PR3 remission,A20_20_PR3 remission,A18_1_PR3 remission,A20_27_PR3 remission,A18_10_PR3 remission,1726_PR3 remission,A19_25_PR3 remission,A20_35_PR3 remission,A18_14_PR3 remission,4_PR3 remission,A18_8_PR3 remission,1868_PR3 remission,A20_41_PR3 remission,A20_42_PR3 remission,A20_43_PR3 remission,1836_PR3 remission,A18_28_PR3 remission,A20_23_PR3 remission,1334_PR3 remission,A20_51_PR3 remission,1760_PR3 remission,1823_PR3 remission,1533_MPA Remission,A21_5_MPA Remission,A21_8_MPA Remission,1803_MPA Remission,A20_4_MPA Remission,A21_21_MPA Remission,A18_31_MPA Remission,A20_18_MPA Remission,1566_MPA Remission,A20_31_MPA Remission,A20_32_MPA Remission,1827_MPA Remission,A20_50_MPA Remission,A20_54_MPA Remission,A20_19_MPA Remission,HC01_HC,HC02_HC,HC03_HC,HC04_HC,HC05_HC,HC06_HC,HC07_HC,HC08_HC,HC09_HC,HC10_HC,HC11_HC,HC14_HC,HC15_HC,HC16_HC,HC17_HC,HC18_HC,HC19_HC,HC19_8_HC,HC20_HC,HC21_HC,HC22_HC,HC23_HC,HC24_HC,HC26_HC,HC27_HC,HC28_HC,HC29_HC,HC30_HC,HC31_HC,HC32_HC,HC33_HC,HC34_HC,HC36_HC,HC37_HC,HC38_HC,HC39_HC,HC40_HC,HC41_HC,HC42_HC,HC43_HC,HC44_HC,HC45_HC,HC46_HC,HC47_HC,HC48_HC,HC49_HC,HC50_HC,HC51_HC,HC35_HC,HC52_HC
A1GB_113 ,-0.271948934,-0.238544539,-0.245711073,-1.437134743,0.22983405,-0.544350564,-0.496549457,-0.472729415,-0.076432399,-0.489443094,0.003170453,-0.691988647,-0.667721808,0.191310018,-0.360860467,-0.275960952,-1.252225876,-0.558941543,-0.409086704,-0.563411713,-0.168122783,-0.070209026,-0.775712669,-1.024149776,-0.492890358,-0.88124156,-0.611534894,-0.729530871,-0.560217321,-0.573037505,-0.689427137,-0.218430474,-0.240929425,-0.623265028,-0.464942396,-1.440654993,-0.021950848,-0.791857362,-0.616834819,-0.278233677,-0.559154153,-1.105007768,-0.51354301,-0.848400891,-0.540568352,-0.555120945,-0.34263432,-0.722134292,-0.734083116,-0.81908834,-0.931810677,-0.42391324,-0.725708425,-0.26499781,-0.312580943,-0.584457695,-0.220614165,-0.347215295,-0.375010163,-0.746857822,-0.542668343,-0.385714203,-0.267600566,-0.809954107,-0.498790145,-0.846065044,-0.574325919,-0.23871468,-0.97596401,-0.514573216,-0.957075536,-0.117161356,-0.779917657,-0.565331697,-0.85412693,-0.380070537,-0.3344253,-0.357344598,-0.341902852,-0.556605518,-0.373514146,-0.271774709,-0.366987377,-0.270904064,-0.367359519,0.191562593,-0.588356853,-0.374635965,0.156525984,-0.514367104,0.049491301,-0.608672202,-0.352363169,-0.276659846,-0.067485243,-0.660178542,-0.25652808,-0.499809831,-0.574755549,-0.30721575,-1.123119593,-0.765621364,-0.139235809,-0.622154415,-0.561281383,0.203639701,-0.17266874,-0.53199017,-0.631064117,-0.564691424,-1.590744853,-0.820106864,-0.58618927,-0.489443094,-0.798366189,-0.685477495,-0.582728088,-0.735763907,-0.69548893,-1.109358788,-0.303471953,-0.431092352,-0.719993889,-0.89593178,-0.205064327,-0.306145132,-0.53847146,-0.136695817,-0.829305768,-0.578197777,-1.044836044,-1.238204122,-1.299382687,-0.955396116,-0.453241289,-0.480760038,-0.330066204,-0.34850055,-0.213905498,-0.418118596,-0.450675815,-0.261361867,-0.716196775,0.078609824,-0.793356717,0.095586963,-0.479753733,-0.236503437,-0.502668679,-0.87885195,-0.310074747,-0.19776538,-0.439676374,-0.644532621,-0.517874479,-0.394790202,-0.61043328,-0.692921221,-0.688961983,-0.752680004
AHSG_001 ,1.047468543,0.438399345,0.56812942,-0.020925846,1.174981594,0.770533025,-0.181640267,-0.370340347,1.343351007,1.042504191,0.935912311,-0.727857351,-0.315989166,0.796597719,-0.571107268,0.78131777,-0.445165634,-1.329884768,-1.369221687,0.588900447,0.697329044,-0.695956349,-0.99913466,-0.49817872,-0.203070015,-1.46753335,0.018919045,0.045862291,-0.047219124,0.275245428,-0.350154638,-0.736965537,-0.921663463,-0.745164156,-0.476136953,-1.06371069,0.329295844,-1.70087266,-0.832128346,0.394514114,0.825704277,-0.306680322,1.147892714,0.752748549,0.738119245,1.07190001,0.460375637,-0.196772963,0.797760069,0.253021061,0.150559694,-0.585323274,0.394404352,-0.069603287,0.244521782,0.384270877,0.738032758,0.349365324,0.479747951,0.907275259,0.739761651,1.266996384,1.62222755,0.922426224,0.761795878,1.183391213,0.725435734,1.442863941,0.809743702,1.138421297,0.989865601,1.080930591,0.804053605,0.691802204,0.239520311,0.985718966,0.851519167,0.814263284,0.981998801,1.210949779,1.009777188,1.240558624,1.015854359,1.302231312,1.440048575,1.040050745,1.083996177,1.305445313,0.68212384,1.341530323,1.541514874,0.463099241,0.978122413,0.873813212,1.437067866,0.458172023,1.432585359,0.975336671,1.020982146,1.271963477,0.3000651,0.668482304,0.194969609,0.660563648,0.97100085,1.147241592,0.790188193,0.921588659,1.325501561,0.210762888,0.675996542,1.304569364,1.289126158,1.096531749,0.766298294,0.851119339,0.591392219,0.90873611,0.346871853,0.493442357,1.025879264,0.569782734,1.26417613,0.784671485,1.020982146,0.680954397,0.491596609,0.973354101,0.509746492,1.686433315,0.981195092,1.411588907,0.971221626,1.41538012,1.424653411,1.526469469,1.346758366,0.788769186,1.427767038,1.778250575,1.376345992,1.167357922,0.873025715,1.303634644,0.727179885,1.24895978,1.190804482,1.052346349,0.795933127,0.239275843,0.966578126,0.764855683,0.77500838,0.619178236,0.748203576,0.841087461,1.124460578,0.589571714,1.007626176,0.337654024
ANGPT2_070 ,-10.11778736,-10.48035717,-10.96578407,-10.48035717,-8.828280449,-10.48035717,-10.96578407,-10.70275021,-11.2877121,-11.2877121,-11.2877121,-10.11778736,-10.70275021,-10.48035717,-10.70275021,-10.48035717,-11.2877121,-10.70275021,-9.48035717,-10.48035717,-10.70275021,-10.96578407,-11.2877121,-11.2877121,-10.96578407,-11.2877121,-10.96578407,-10.96578407,-11.2877121,-10.48035717,-10.70275021,-10.96578407,-10.96578407,-10.70275021,-10.96578407,-10.70275021,-11.70275021,-11.70275021,-10.70275021,-10.70275021,-11.2877121,-10.70275021,-10.70275021,-10.96578407,-10.96578407,-10.96578407,-10.96578407,-10.96578407,-10.96578407,-11.2877121,-10.70275021,-10.70275021,-10.96578407,-10.70275021,-10.96578407,-11.2877121,-11.2877121,-10.48035717,-10.96578407,-10.48035717,-10.96578407,-10.96578407,-10.96578407,-10.2877121,-10.96578407,-11.2877121,-10.70275021,-10.96578407,-10.96578407,-10.96578407,-11.2877121,-11.2877121,-11.70275021,-10.96578407,-11.2877121,-11.2877121,-10.96578407,-11.2877121,-11.2877121,-9.039784431,-11.2877121,-10.48035717,-10.96578407,-11.2877121,-10.70275021,-10.48035717,-10.96578407,-10.70275021,-10.70275021,-10.96578407,-10.70275021,-11.2877121,-10.70275021,-10.48035717,-10.2877121,-11.2877121,-10.96578407,-10.70275021,-10.96578407,-11.2877121,-10.96578407,-10.70275021,-10.96578407,-10.70275021,-11.2877121,-10.70275021,-11.2877121,-11.2877121,-9.828280449,-10.70275021,-10.96578407,-10.70275021,-11.2877121,-10.96578407,-10.96578407,-11.2877121,-10.96578407,-11.2877121,-10.96578407,-10.96578407,-11.2877121,-11.2877121,-11.2877121,-11.2877121,-11.2877121,-10.2877121,-11.2877121,-11.2877121,-10.96578407,-10.96578407,-10.96578407,-10.70275021,-10.70275021,-10.96578407,-11.2877121,-11.2877121,-11.2877121,-10.96578407,-10.70275021,-11.2877121,-11.2877121,-11.70275021,-10.70275021,-11.2877121,-11.70275021,-10.48035717,-10.96578407,-11.2877121,-10.96578407,-10.96578407,-10.70275021,-10.70275021,-10.96578407,-12.2877121,-10.48035717,-10.70275021,-10.96578407,-10.70275021,-11.2877121,-10.70275021
APMAP_005 ,-6.020925999,-6.392894745,-6.429731369,-7.861447811,-6.895394802,-6.748553753,-5.869859695,-6.947862148,-7.002310276,-7.221623421,-5.461163998,-8.287712097,-5.912672997,-6.480357647,-5.993091583,-7.243318081,-5.710283756,-7.200249672,-6.748553753,-7.221623421,-7.078258991,-7.795859337,-6.158429146,-6.429731369,-8.200249672,-5.956795216,-8.002309799,-6.658355713,-5.983931541,-6.417347908,-6.811978817,-6.878321171,-5.756330967,-6.345198154,-5.983931541,-7.405069351,-7.020925999,-7.137965202,-6.429731369,-5.687799454,-7.615286827,-6.020925999,-7.221623421,-6.912672997,-6.392894745,-7.965784073,-6.480357647,-7.243318081,-6.947862148,-6.643856049,-6.137965202,-7.078258991,-6.506352901,-7.078258991,-7.67300272,-6.67300272,-6.345198154,-6.546245098,-7.405069351,-7.895394802,-7.429731369,-6.895394802,-7.058893681,-7.020925999,-7.158429146,-7.058893681,-6.345198154,-5.461163998,-7.702749729,-7.137965202,-7.002310276,-6.67300272,-7.333516121,-7.137965202,-8.333516121,-6.947862148,-6.895394802,-6.844769001,-6.629500866,-7.058893681,-7.26534462,-6.687799454,-7.615286827,-6.930160522,-6.587272644,-6.356975079,-8.039784431,-7.861447811,-7.097887993,-7.702749729,-6.179187775,-6.573466778,-7.380821705,-6.030324459,-7.243318081,-6.983931541,-7.405069351,-6.480357647,-7.137965202,-6.912672997,-6.615286827,-7.965784073,-7.965784073,-7.002310276,-6.844769001,-7.287712574,-6.844769001,-6.493296623,-8.643856049,-6.861447811,-7.861447811,-8.158429146,-7.76415062,-7.058893681,-7.559792042,-8.76415062,-7.097887993,-7.179187775,-7.058893681,-6.795859337,-7.179187775,-7.480357647,-7.587272644,-7.733123779,-6.587272644,-7.158429146,-6.947862148,-7.429731369,-7.930160522,-6.828280926,-8.48035717,-8.002309799,-8.380822182,-8.48035717,-6.519527912,-7.45482254,-7.287712574,-7.506352901,-7.45482254,-7.179187775,-7.76415062,-6.26534462,-7.480357647,-6.844769001,-7.615286827,-6.930160522,-7.380821705,-6.392894745,-7.861447811,-7.480357647,-7.058893681,-6.895394802,-7.310432434,-8.532824516,-6.189680099,-6.717856884,-7.828280926,-6.733123779,-8.002309799,-7.405069351
APOB_111 ,-0.883369029,0.20326376,-0.441830397,-1.77595973,-0.66474539,-0.740576804,-0.16165328,-0.496753037,-0.013625489,-0.593354464,0.183708817,-0.518701017,0.094641514,0.377512544,0.622930288,0.514198005,0.328721613,-0.797864377,1.127303123,-0.216585264,-0.115128562,-1.600774288,-1.062504888,-0.330973208,-0.737687171,-1.706511736,-0.795608878,-0.437916338,-0.985930502,-0.021365032,-0.26465109,-1.214909911,-0.011442548,-0.75438261,-0.557666838,-0.840370834,-0.572822988,-0.916480243,-0.441634417,-0.245539993,-1.026498914,-0.363827795,0.288535774,-0.053493731,-0.282965213,-1.120294213,-1.166502714,-0.651314378,-0.259460986,-0.413499415,-0.470928729,-0.157624528,-0.748311162,-0.700403631,-1.240247607,-1.369221687,-0.585323274,-0.614182472,-0.734323025,-1.010134459,-0.846583724,-0.707925022,-0.110915899,-0.025323894,-0.43752557,-0.488835633,-0.26153475,0.649477541,-0.20822762,-1.185408592,-0.87885195,-0.15810737,-1.134160399,-0.344831377,-1.018585682,-0.519734919,-0.233786553,-0.916480243,-0.683854282,-0.183113605,-0.762436271,-0.413307369,-0.28824082,-0.488633156,0.281905979,-0.542458177,-0.519941807,-0.62749356,0.330787808,-0.297785759,0.17210348,0.428249627,-0.08497636,0.534958005,0.258699864,-1.20922792,-0.282789648,-1.637558222,-0.713355362,-0.956795454,-1.525745749,0.219586715,-0.529072702,-0.942584455,-0.034012586,-0.527200341,-0.420240521,-0.22836788,-1.326624513,-0.058893722,-0.861971974,-1.506352663,-0.822401047,-0.741782606,-0.947862327,-0.875407219,-0.35993439,-1.032979012,-0.365685582,-0.468930453,-0.510251582,-1.546666861,-1.051100135,-1.696657658,-0.388544351,-0.988790691,-1.195946455,-0.458386034,-1.262226701,-0.921663463,-0.518081129,-1.244343281,-1.219269872,-0.331880897,0.730487764,-0.389488876,0.270469159,-0.17935133,-0.388166606,0.009920342,-0.597932696,0.951289356,0.157173127,0.233029053,-0.217927009,-0.055441361,0.361543864,0.840040147,0.447632134,-0.461362511,0.312084287,-0.116222851,-0.262572855,-0.249479249,-0.85725987,-0.261880726,-0.237523571,-0.005782364,-0.533659995,-0.481968462
B2M_010 ,1.202135682,1.51475358,0.240985915,-0.385525703,0.162596777,0.196481168,1.266696572,2.319473505,-0.177881718,-1.103146911,-1.420819879,2.754053593,-0.52574569,2.00597477,0.779721975,-1.792356968,-0.526161134,-1.459972739,-1.157463551,0.660563648,-1.638905406,1.699507236,1.47747016,-0.901041567,0.468739748,0.215367988,0.810566545,-0.057241574,2.193077803,-0.875936627,0.355918437,0.828144133,1.043904424,-1.392894626,1.553163886,0.427927881,-1.72881341,1.671655774,0.359521151,1.107018232,-0.18951574,0.830174148,0.587460935,0.452068269,1.785383105,-0.765734136,1.958768487,0.893828213,1.104403734,1.811758757,0.239153594,1.025666833,-1.990222812,-0.758525908,0.596458077,0.078063317,-1.107181549,0.580724359,-0.023709726,0.219586715,-0.041120235,1.110430121,-3.272297382,0.014498137,-0.532407522,-0.297963142,0.297484875,0.685805619,-0.782397091,-2.11278677,-1.827256441,-1.44850862,-1.17690289,-1.835471153,-2.849960327,-1.738890409,-0.188200235,-1.21524477,-1.076736689,0.041523304,-0.214072853,-0.173970237,-0.560642898,-0.478748232,1.938887954,-0.831614673,-0.400682211,0.755314887,0.541217387,-0.497363865,-0.75438261,-1.521183491,-1.191656232,-1.955675721,-1.733123541,-0.412346989,1.202449083,-0.55131048,-0.150561109,0.891419172,0.045303237,-2.413499355,2.379454613,1.391217709,-3.36289978,-0.671623111,-1.070057511,-0.629724085,-2.602087498,1.419323087,-1.037413955,-0.99424082,-1.725947142,-1.771519899,-0.852042079,-1.302226186,-1.571750402,-0.15746358,-0.501034319,-0.663602412,-2.271600485,-6.210896969,-2.919205904,-2.790858507,-4.39592886,-3.36141634,-2.386091232,-3.337885618,-2.539519548,-2.408895016,-2.512925386,-1.402016044,-2.35919404,-0.186721593,-3.906169415,-1.159718037,-1.46753335,-1.542038083,-2.134793758,-1.187049985,-1.585539699,-1.180822372,-2.444576502,-2.769059181,-2.85412693,-3.022097349,-2.257735014,-2.901849985,-2.782893419,-3.439089298,-2.285600662,-2.16165328,-1.79686141,-3.667492628,-1.62060082,-3.589007854,-2.053493738,-3.272297382,-3.243318319,-2.788863182
C9_076 ,1.634593248,1.941294193,1.477573752,0.134220898,2.517653704,1.262252688,1.318519354,1.681134343,1.324983358,1.60435605,1.310747266,1.049700499,1.220020294,2.000252485,0.222928122,0.06488286,-0.936497092,0.328376919,-0.051997244,0.491904348,1.004249573,1.657182693,1.464720488,0.65955925,1.685132742,0.848958433,0.763751566,1.677801371,1.28983438,1.461895227,0.30427736,0.930699527,0.720190942,0.537544608,-0.469130188,0.070389263,1.402012587,0.037312008,0.3000651,1.575118661,1.186246991,1.592158079,1.410503864,1.130403757,0.81811434,1.513541222,1.726308107,1.638861656,0.359858513,0.809167445,0.438612193,0.548337936,0.915023625,0.783079445,0.730226934,0.420509368,0.023752155,0.801075876,0.417055815,0.655260265,0.986156106,1.650259137,0.21001476,0.316493392,1.33050096,0.887993097,0.748976409,0.822607756,0.06488286,-0.164399236,-0.813245833,1.394075036,-0.033421852,0.121678635,-0.272820115,-0.283140779,0.242450029,-0.079782911,-0.349051714,0.009920342,0.489440203,0.412402123,0.955163956,0.883307993,0.727179885,0.679603934,0.392427355,1.18231082,1.674957752,0.448478073,0.77761966,-0.579490662,-0.178697988,-1.2757864,0.069427148,0.303342342,1.338338852,0.658462882,0.259423196,0.147697449,0.338567048,0.342213333,0.63012588,1.198242664,1.004537344,0.701327324,-0.392515838,0.206143036,-0.281561613,0.453965247,-0.256183475,0.303693116,0.779469907,1.237380266,-0.043645911,0.106616288,0.443500578,0.133958086,0.111164972,0.412185401,-0.31922552,-0.090495713,-0.362343431,-0.912129819,-0.346114486,-0.342817307,-0.908333957,-0.016395302,-0.880179107,-0.475535035,0.116098493,-0.166178852,-0.302404135,-0.721420407,-0.060547762,0.394623876,0.095181778,0.252536803,0.509037018,0.722815752,0.23253803,-0.171693414,-0.916752636,-1.027969122,-0.952880442,-0.32771042,-1.3681041,-1.432065248,-1.28384316,-1.223643303,-0.567254364,-0.877791107,-1.036229968,-1.1500808,-0.870387256,-0.719756246,-1.089574337,-1.165855169,-1.571750402,-0.954277515
CDH2_013 ,-8.895395279,-8.895395279,-8.828280449,-9.828280449,-8.587272644,-9.039784431,-9.200249672,-7.795859337,-8.200249672,-9.702750206,-9.287712097,-8.702750206,-8.380822182,-8.643856049,-8.039784431,-8.643856049,-9.117787361,-8.587272644,-8.287712097,-9.039784431,-9.380822182,-9.828280449,-9.48035717,-9.702750206,-9.117787361,-9.965784073,-10.70275021,-9.48035717,-9.117787361,-10.48035717,-8.587272644,-9.200249672,-8.643856049,-9.587272644,-9.380822182,-9.380822182,-9.702750206,-9.965784073,-8.965784073,-8.48035717,-9.380822182,-8.532824516,-11.2877121,-9.965784073,-9.965784073,-10.11778736,-9.48035717,-8.532824516,-9.828280449,-8.76415062,-9.287712097,-9.587272644,-9.48035717,-8.76415062,-8.895395279,-9.287712097,-9.200249672,-9.702750206,-8.965784073,-9.200249672,-9.828280449,-9.702750206,-8.895395279,-9.48035717,-9.287712097,-9.965784073,-9.287712097,-9.200249672,-9.965784073,-9.380822182,-9.48035717,-8.965784073,-10.48035717,-9.702750206,-9.702750206,-10.70275021,-9.287712097,-9.587272644,-9.48035717,-9.702750206,-9.702750206,-9.828280449,-9.48035717,-9.48035717,-8.895395279,-10.70275021,-10.11778736,-13.2877121,-9.117787361,-10.70275021,-9.48035717,-9.587272644,-9.828280449,-8.965784073,-8.702750206,-10.11778736,-11.70275021,-9.587272644,-10.11778736,-12.2877121,-10.70275021,-8.117787361,-9.702750206,-9.200249672,-10.70275021,-8.828280449,-9.287712097,-9.663261414,-9.663261414,-9.200249672,-10.11778736,-9.702750206,-10.11778736,-10.2877121,-10.2877121,-10.11778736,-9.828280449,-9.48035717,-9.587272644,-10.48035717,-9.702750206,-9.828280449,-10.70275021,-11.2877121,-11.2877121,-12.2877121,-9.48035717,-9.965784073,-10.70275021,-13.2877121,-9.702750206,-10.48035717,-10.11778736,-10.48035717,-8.828280449,-9.48035717,-10.96578407,-9.48035717,-12.2877121,-10.48035717,-10.2877121,-9.702750206,-10.11778736,-9.48035717,-9.828280449,-9.380822182,-9.117787361,-8.965784073,-9.702750206,-10.11778736,-9.380822182,-9.48035717,-9.587272644,-9.965784073,-8.965784073,-9.587272644,-9.287712097,-10.2877121,-9.965784073,-9.965784073
CLEC3B_020 ,-3.627716541,-3.563198566,-3.830331564,-4.662003517,-3.625934362,-3.938984156,-4.11278677,-3.899695158,-3.394410849,-3.663830757,-3.187050104,-3.736965418,-4.221623421,-2.891107559,-3.773984671,-3.282087803,-2.728335142,-4.473931313,-3.177881718,-3.773984671,-3.237863779,-3.838563681,-4.163590908,-3.36438489,-3.553002834,-3.527824163,-3.340806007,-3.290532827,-3.649276495,-3.313297749,-4.319045544,-5.06371069,-4.301870346,-4.009263039,-4.464344978,-3.997693539,-3.421979189,-3.932361364,-3.529489279,-3.697125196,-3.233786583,-3.640254021,-2.758281946,-3.02444315,-3.60823226,-3.324816465,-3.329159737,-3.633076429,-3.345197916,-3.198924065,-2.869859695,-5.006941795,-3.89324975,-3.47232914,-2.801882982,-3.097887754,-2.866699457,-3.233866453,-3.536168337,-3.029146433,-3.037414074,-3.276484966,-3.033864975,-3.149440527,-3.582080126,-2.744680405,-2.539519548,-3.173970222,-2.3673594,-3.310432434,-2.659266949,-3.056491137,-3.402015924,-2.591614246,-2.72165823,-2.624154329,-3.04572916,-2.522840738,-2.820106745,-3.685941696,-3.247422695,-2.431286812,-3.197599888,-3.72165823,-2.711227894,-3.079478025,-3.057692051,-2.830331564,-2.579490662,-3.300448418,-3.040971756,-5.321928024,-2.732164621,-2.711227894,-2.915935755,-2.734083176,-2.42662549,-2.799872398,-2.779917717,-3.40659833,-3.054092646,-2.83650136,-3.326262712,-2.465141535,-2.945637703,-3.04453826,-2.705570459,-3.14050746,-3.252913475,-6.748553753,-2.266038418,-2.498994112,-2.296899319,-2.552156448,-2.56405139,-2.432065248,-2.441438437,-2.771027327,-2.524499893,-2.70462966,-2.713118792,-3.450084448,-2.610873699,-3.02444315,-2.376320362,-2.536168337,-3.126580477,-2.722610235,-2.969169617,-2.937878132,-2.540358543,-3.678533554,-2.366615295,-2.551310539,-3.461163759,-3.549620152,-2.839596033,-3.266732454,-3.145605326,-2.861447573,-2.751465321,-2.219605923,-2.40659833,-2.49817872,-3.50963521,-2.898618698,-2.888968706,-2.170069218,-2.952322006,-3.205563307,-3.15200305,-2.85412693,-2.869859695,-3.003466606,-3.237863779,-3.006941557,-3.310432434,-7.67300272,-2.656535387,-3.309001923
COMP_023 ,-6.733123779,-6.947862148,-6.493296623,-7.861447811,-7.179187775,-7.733123779,-7.310432434,-6.687799454,-6.011588097,-7.179187775,-6.559792042,-6.658355713,-7.380821705,-7.158429146,-7.532824993,-6.368849277,-6.020925999,-7.828280926,-6.930160522,-6.947862148,-7.67300272,-6.779917717,-8.039784431,-7.532824993,-7.702749729,-7.097887993,-6.795859337,-6.429731369,-6.895394802,-8.039784431,-7.020925999,-7.221623421,-6.930160522,-7.058893681,-7.221623421,-7.702749729,-6.965784073,-6.480357647,-7.356975079,-6.29902792,-6.912672997,-6.221623421,-6.878321171,-6.947862148,-6.702749729,-7.333516121,-7.356975079,-7.179187775,-7.405069351,-7.179187775,-7.200249672,-7.532824993,-7.078258991,-8.48035717,-6.480357647,-7.097887993,-6.546245098,-6.392894745,-7.356975079,-6.210896969,-6.643856049,-6.356975079,-6.573466778,-6.368849277,-6.493296623,-6.068543911,-6.26534462,-6.345198154,-6.158429146,-6.965784073,-6.506352901,-6.844769001,-6.368849277,-6.429731369,-7.587272644,-6.127840996,-6.29902792,-7.137965202,-6.467533588,-6.29902792,-5.895394802,-6.068543911,-5.921390057,-5.921390057,-5.546245098,-5.983931541,-6.088039875,-6.168771267,-5.227016449,-5.947862148,-5.861447811,-6.189680099,-6.587272644,-6.506352901,-5.912672997,-6.573466778,-6.276484966,-6.878321171,-5.993091583,-6.878321171,-6.748553753,-6.030324459,-6.687799454,-6.356975079,-6.380821705,-6.912672997,-5.904007912,-6.137965202,-6.392894745,-7.356975079,-6.828280926,-6.687799454,-6.243318081,-6.615286827,-6.844769001,-6.26534462,-6.210896969,-6.506352901,-6.137965202,-6.356975079,-6.287712574,-7.480357647,-6.345198154,-7.097887993,-6.148160934,-6.45482254,-6.210896969,-6.25428915,-6.232429981,-6.179187775,-6.532824993,-7.137965202,-7.137965202,-6.658355713,-6.405069351,-6.45482254,-6.148160934,-5.608232021,-6.519527912,-6.002310276,-6.148160934,-5.643856049,-6.333516121,-5.869859695,-6.148160934,-6.243318081,-6.030324459,-5.740818024,-6.467533588,-6.643856049,-5.803896427,-5.938984394,-6.368849277,-6.67300272,-5.836501122,-5.836501122,-6.243318081,-6.493296623,-6.011588097,-6.405069351
