;Feature;Importance;Decision
MCAM_047;MCAM_047;9,23513264362491;Confirmed
AHSG_004;AHSG_001;14,3246212297239;Confirmed
H6PD_031;H6PD_030;0,488007124751781;Rejected
LRG1_042;LRG1_042;16,2569126387998;Confirmed
TNXB_101;TNXB_100;-0,0389401815298308;Rejected
CDH2_014;CDH2_013.N;0,579086191530701;Rejected
MRC1_073;MRC1_073;6,20070544752407;Confirmed
KRT78_039;KRT78_039;2,36171069614631;Tentative
CLEC3B_020;CLEC3B_020;12,0105929625035;Confirmed
C9_078;C9_078;3,17766999648496;Confirmed
COMP_023;COMP_023;11,8655407271886;Confirmed
ITIH4_103;ITIH4_103;1,72679429370521;Rejected
F9_026;F9_027;3,00770247564964;Tentative
B2M_010;B2M_011;3,01024611320896;Tentative
IGHV1.24_036;IGHV1.24_036;-0,227007499152365;Rejected
PKM_089;PKM_089;0,385303982687938;Rejected
KRT2_085;KRT2_085;-1,35849934172217;Rejected
KRT6B_037;KRT6B_037;0,280429484399126;Rejected
