,Features,Coefficient
(Intercept),(Intercept),78.36090739
LRG1,LRG1,-1.472146261
B2M.1,B2M.1,-0.052126628
AHSG,AHSG,0.255219966
CLEC3B,CLEC3B,0.217166011
COMP,COMP,0.072313658
IGFBP3,IGFBP3,0.247500107
MCAM,MCAM,0.167079164
TNXB,TNXB,0.440490283
C9,C9,-0.561200819
F9,F9,-1.498690526
IGHV1.24,IGHV1.24,-0.107264927
ITIH4.1,ITIH4.1,-0.414115599
MRC1,MRC1,-0.040590875
PKM,PKM,-0.03928749
APMAP,APMAP,-0.142340369
CDH2,CDH2,-0.04681273
KRT2,KRT2,-0.035318606
KRT6B,KRT6B,-0.069297678
H6PD,H6PD,-0.242128711
HSPA8,HSPA8,-0.216707831
KRT78,KRT78,-0.512172816
