"metric","value"
"n_train","91"
"n_test","22"
"events_train","44"
"events_test","11"
"n_predictors","21"
"EPV","2.1"
"AUC_test","0.9215"
"AUC_test_DeLong_lo","0.8062"
"AUC_test_DeLong_hi","1"
"AUC_test_boot_lo","0.7863"
"AUC_test_boot_hi","1"
"AUC_train_apparent","1"
"optimism_estimate","0.046"
"AUC_train_optimism_corrected","0.954"
"AUC_full_cohort","0.9876"
"Brier_test","0.15128"
"Brier_test_lo","0.01493"
"Brier_test_hi","0.31815"
"Brier_baseline","0.25"
"Cal_intercept_test","0.4369"
"Cal_slope_test","0.0712"
"HL_p_test","0.0000"
"Cal_mean_pred","0.4285"
"Cal_mean_obs","0.5"
"Cal_in_the_large","-0.0715"
"perm_p_test","p = 0.0009995"
"perm_p_full","p < 1/2001 (p < 0.000500)"
"sep_pct_extreme_train","100"
"sep_flag","TRUE"
"coef_flag","TRUE"
"epv_flag","TRUE"
"cal_flag","TRUE"
"firth_flag","FALSE"
"n_flags_total","4"
"seed_main","21"
"seed_perm","2025"
"seed_optim","42"
"timestamp","20260307_094732"
